Flow Duration,Flow Packets/s,Flow Bytes/s,ACK Flag Count,SYN Flag Count,RST Flag Count,URG Flag Count,CWR Flag Count,Packet Length Mean,Min Packet Length,Label
806930,14975327.548215752,657472643.5453398,1,1374544372,1,0,0,46.334128328974984,59,DDoS
3795126,113.27059195378071,12996.725350977373,3,1,0,0,0,984.286525016231,178,BENIGN
9593059,330.20088336022275,68829.6037502146,6,2,0,0,0,1254.5477517344902,147,BENIGN
3716826,199.62970175619347,80630.57058407465,8,1,0,0,0,896.477573820787,41,BENIGN
9507528,1.0527741053645043,96960.24797847217,8,1,0,0,0,970.3296690504939,154,BENIGN
2227751,167839214.26596752,16515748451.237852,1,146869332,4,0,0,46.009864852844125,42,DDoS
9501424,502.4434597267099,47605.09951045672,8,0,0,0,0,208.35412499710768,103,BENIGN
682843,97737838.81372471,13839406345.58693,1,1254937262,2,0,0,57.73455375978754,53,DDoS
4013014,212392920.23520085,18065932861.75792,0,1590522364,1,0,0,47.57265817895538,45,DDoS
2355531,107.51699531766128,22338.103290469648,0,2,0,0,0,771.1923671391352,59,BENIGN
7227018,305.4561518845284,11309.932770802563,3,1,0,0,0,266.72266733858436,104,BENIGN
2895763,263008320.8527284,22357436706.49005,0,1500021609,0,0,0,52.36813407955183,56,DDoS
4946369,459594033.1580814,24895730216.24699,0,1344250383,1,0,0,49.509122060104225,43,DDoS
4372088,426238589.1617111,11177175538.38891,0,457135615,0,0,0,59.42309157669425,42,DDoS
8336302,559.2820300837118,87647.57609141644,6,2,0,0,0,562.095400627217,172,BENIGN
2549333,113571452.97403815,6331272603.030556,1,1262880871,3,0,0,54.41981233847018,45,DDoS
5345760,457.4311836655296,98418.07945237317,0,1,0,0,0,462.46617712070565,44,BENIGN
3142118,189532111.87131724,4820991833.624624,0,1315108006,0,0,0,55.33537443740137,52,DDoS
4822566,269323269.9031448,19260835378.400097,0,745361429,1,0,0,45.78577584817582,56,DDoS
267983,236800418.1047803,6945905782.391751,0,795953321,4,0,0,50.86716274993444,41,DDoS
180105,2829926.4214133876,406348170.0594575,0,773075959,2,0,0,50.98859498519808,49,DDoS
4603110,173.58456096280622,98919.49802017298,3,0,0,0,0,708.7902586416911,100,BENIGN
4354513,253.1613991635836,14672.325782694219,5,1,0,0,0,919.3958208282545,123,BENIGN
902591,477931330.0551337,17870265499.797573,0,694715443,4,0,0,57.75374156500396,59,DDoS
6462610,105.26708662474617,69810.68937959141,1,0,0,0,0,1217.7497266210446,139,BENIGN
4262713,186706753.02171168,3924598969.056205,1,1034246521,1,0,0,49.56473100486096,42,DDoS
6222798,699.8283425321694,41895.05412218752,4,1,0,0,0,752.6930895157707,113,BENIGN
1377307,321651178.2302172,11521864221.882689,1,1186126485,0,0,0,57.729516504442,53,DDoS
3248270,71502654.4501462,13774409597.762209,1,1315657336,0,0,0,43.08865754125453,58,DDoS
13756,149053134.12402597,4565830805.139605,1,1820775048,1,0,0,54.614427370193525,49,DDoS
4239576,600.6511586894835,29409.628590739536,4,0,0,0,0,768.2681918816119,63,BENIGN
9152885,513.0636397082875,46753.2420113687,1,0,0,0,0,138.0658001985901,48,BENIGN
7666781,549.2929138378803,1362.9958798618475,9,0,0,0,0,169.19547033819026,87,BENIGN
8237310,860.3875631664871,88534.37552269614,3,1,0,0,0,424.63133772550344,197,BENIGN
2911791,412295456.8107387,17436719809.87629,1,1682090148,1,0,0,50.05807495823989,42,DDoS
5327802,922.6498325008943,36930.874642529554,6,2,0,0,0,650.0954101043834,166,BENIGN
448418,284213185.15918785,20703801911.326477,0,1218355453,3,0,0,46.18064283102446,49,DDoS
7730886,372.71017270793305,21281.58226517267,6,1,0,0,0,1021.8126858510044,109,BENIGN
2945537,604.6552564709383,68859.63856976399,9,1,0,0,0,1309.6391084393647,44,BENIGN
1656397,213103699.12700498,16078360744.810883,0,505580952,0,0,0,52.74047024564482,47,DDoS
3310391,357452552.4559175,13999595790.860512,1,862030969,4,0,0,41.98926396308598,48,DDoS
3745683,74.29070339214306,21578.976350175853,4,0,0,0,0,787.4329953448733,105,BENIGN
2651136,175082981.65608853,22616175005.375095,0,1707109912,3,0,0,52.540508609888256,53,DDoS
6262696,319.49850555013165,3175.5782291885853,2,0,0,0,0,366.4449609019648,158,BENIGN
1247049,22605572.713606387,21442953221.847027,0,335994972,3,0,0,53.83486518601584,50,DDoS
7397986,422.7700416467974,17343.650378937225,6,2,0,0,0,869.1963158660416,190,BENIGN
3724274,624.1296309848635,40582.05571464046,2,0,0,0,0,365.3641700621563,119,BENIGN
9299141,608.9630215808003,18329.38547681301,8,0,0,0,0,1265.4298417855232,47,BENIGN
5948600,947.6175611977189,10111.113770147402,3,2,0,0,0,1272.1759727950807,43,BENIGN
5414084,199.7308500152433,9589.165833233481,2,0,0,0,0,816.5448674034924,184,BENIGN
2807402,91.10550450004412,17462.505827810444,1,1,0,0,0,1262.839008337229,117,BENIGN
946736,278950895.5721541,10433793209.606636,1,1080220676,0,0,0,44.69834159907076,41,DDoS
8017955,817.4420097185354,98426.55167247991,6,0,0,0,0,1199.4189227476602,59,BENIGN
3210356,416210178.09149706,3760432877.9052076,0,453076585,3,0,0,56.15526050709292,40,DDoS
8752950,344.63565668005384,93596.96797344962,8,0,0,0,0,477.9097577409967,175,BENIGN
751136,3260412.562370796,12501102428.897444,0,1758642289,1,0,0,49.64510565440934,52,DDoS
3707184,32.02581915912046,87715.02439903755,3,2,0,0,0,1007.7730046197692,160,BENIGN
392386,27867499.449989334,9191675531.40789,1,586793448,2,0,0,58.80380530897125,47,DDoS
7721308,171.59749174333356,50949.31813532014,9,1,0,0,0,919.8203613004122,170,BENIGN
7725275,720.6528395194707,53397.5077548379,1,1,0,0,0,413.92794706971534,127,BENIGN
8347689,407.3669748234332,28130.962575839458,2,0,0,0,0,876.8076868853859,195,BENIGN
2508262,466357138.25224835,20252571668.518467,0,429897196,3,0,0,52.00750572043461,53,DDoS
3256855,279340006.2547366,24293285917.680458,1,1241453982,3,0,0,52.0995962598322,41,DDoS
1769598,819.050401249951,42195.556427264106,7,1,0,0,0,506.9883861063369,192,BENIGN
4763122,17.95216018615099,59259.7990248789,1,1,0,0,0,299.2020163049946,193,BENIGN
1506795,179640680.33259022,22296812731.07458,1,457859252,2,0,0,40.63045614478979,49,DDoS
9607009,714.405021783991,36730.05106967585,8,1,0,0,0,892.8402655005377,192,BENIGN
1691702,393910092.73555243,3578952687.2976193,1,1530145464,0,0,0,52.69775460423163,42,DDoS
3009629,119507144.62779582,6054064663.718203,1,78971213,0,0,0,48.230226364465025,50,DDoS
3338377,591.3251767343995,94589.85646536523,9,1,0,0,0,382.74113766614875,50,BENIGN
964379,67458957.34046347,746370285.389205,1,279198008,2,0,0,53.33220236807777,55,DDoS
5873594,506.41987434624747,36951.36390343333,4,0,0,0,0,1046.2409086925252,176,BENIGN
8503276,703.0355609902973,23769.09336496711,8,2,0,0,0,514.1631259446933,60,BENIGN
3363162,735.7851850877876,77882.27573418559,9,0,0,0,0,398.79069453830397,148,BENIGN
8184872,894.8672250254825,42633.585331537484,9,2,0,0,0,700.2397936166983,134,BENIGN
1643249,146270416.88057548,876102497.575138,1,1370741462,1,0,0,57.180289610811876,40,DDoS
7569632,840.5078294109196,75533.88733308483,5,0,0,0,0,1123.5971530405473,193,BENIGN
4269531,127443040.66418418,20652391650.289272,0,1932248002,2,0,0,59.69339388518762,58,DDoS
335256,146404786.81261322,7486718056.12139,1,390192856,1,0,0,44.81981162179147,51,DDoS
9281447,373.2844727642531,5973.722052809243,9,0,0,0,0,122.14089941440464,106,BENIGN
3118654,142590208.7887012,16930657433.015858,1,412732128,0,0,0,51.344396246235746,55,DDoS
9736347,551.0200639068229,13539.096679689535,5,2,0,0,0,577.6034758975452,141,BENIGN
606245,363195600.2426149,24815991205.307182,0,1676048822,1,0,0,57.46404438681108,58,DDoS
